Len1,Boot1,bee_fq
0.00027913605299999998,85,bee_fq
0.00038296861700000000,78,bee_fq
0.00213943301899999997,100,bee_fq
0.00128107698800000009,100,bee_fq
0.00297103800800000003,100,bee_fq
0.00968312389400000084,100,bee_fq
0.00494093736300000013,100,bee_fq
0.00115250277700000006,100,bee_fq
0.00130670801700000011,100,bee_fq
0.00905242919300000039,100,bee_fq
0.02552143648200000045,100,bee_fq
0.00105640263499999997,100,bee_fq
0.00011795839700000000,54,bee_fq
0.00141528281299999992,100,bee_fq
0.01014463353899999927,100,bee_fq
0.00018373431200000001,59,bee_fq
