"sample","variable","dist","condition","main","mean","rep","true_dist","scaled_dist","b","prct_reads","exp_coverage","est_coverage_n1","est_coverage_n2"
"n1","n2",0.0099674538233515,"subsample_no_strap",0.0099561963517082,0.0102499106350046,1,0.01,1.00326524478822,0.75,0.0265914794847249,0.0531829589694498,0.0785436558891,0.0763911509309785
"n1","n2",0.0099530753714516,"subsample_no_strap",0.0099561963517082,0.0102499106350046,10,0.01,1.00471458587393,0.75,0.0265914794847249,0.0531829589694498,0.0536470207337153,0.0537640186555312
"n1","n2",0.0098019916262322,"subsample_no_strap",0.0099561963517082,0.0102499106350046,18,0.01,1.02020083074115,0.75,0.0265914794847249,0.0531829589694498,0.0635334945557757,0.0684334634551235
"n1","n2",0.0101779067532263,"subsample_no_strap",0.0099561963517082,0.0102499106350046,23,0.01,0.982520300338777,0.75,0.0265914794847249,0.0531829589694498,0.0901124047590406,0.0601502777127304
"n1","n2",0.0100028109691706,"subsample_no_strap",0.0099561963517082,0.0102499106350046,28,0.01,0.999718982076207,0.75,0.0265914794847249,0.0531829589694498,0.0714606327670375,0.0820953258877549
"n1","n2",0.0100860884024336,"subsample_no_strap",0.0099561963517082,0.0102499106350046,31,0.01,0.991464639313204,0.75,0.0265914794847249,0.0531829589694498,0.0647652699354403,0.0959164192815453
"n1","n2",0.0099729023278575,"subsample_no_strap",0.0099561963517082,0.0102499106350046,35,0.01,1.00271713000405,0.75,0.0265914794847249,0.0531829589694498,0.0965864251459458,0.0862351214923708
"n1","n2",0.009907719480574,"subsample_no_strap",0.0099561963517082,0.0102499106350046,36,0.01,1.00931400203719,0.75,0.0265914794847249,0.0531829589694498,0.068057309441376,0.0643220579138292
"n1","n2",0.0099187483081357,"subsample_no_strap",0.0099561963517082,0.0102499106350046,38,0.01,1.00819172836533,0.75,0.0265914794847249,0.0531829589694498,0.0570196971224059,0.0611418463319975
"n1","n2",0.0098588692432151,"subsample_no_strap",0.0099561963517082,0.0102499106350046,41,0.01,1.0143151058507,0.75,0.0265914794847249,0.0531829589694498,0.066756238990181,0.0525728257844139
"n1","n2",0.0100235802053707,"subsample_no_strap",0.0099561963517082,0.0102499106350046,44,0.01,0.997647526643409,0.75,0.0265914794847249,0.0531829589694498,0.057789544439374,0.0541247587289964
"n1","n2",0.0097176261090977,"subsample_no_strap",0.0099561963517082,0.0102499106350046,5,0.01,1.02905790856039,0.75,0.0265914794847249,0.0531829589694498,0.0702581294831965,0.0705125158630777
"n1","n2",0.0100193903007354,"subsample_no_strap",0.0099561963517082,0.0102499106350046,50,0.01,0.998064722487756,0.75,0.0265914794847249,0.0531829589694498,0.0495956893064939,0.0808886184061773
"n1","n2",0.0098189264512344,"subsample_no_strap",0.0099561963517082,0.0102499106350046,51,0.01,1.01844127763507,0.75,0.0265914794847249,0.0531829589694498,0.0555592431747558,0.0649484582097841
"n1","n2",0.0100766758152692,"subsample_no_strap",0.0099561963517082,0.0102499106350046,54,0.01,0.992390762918753,0.75,0.0265914794847249,0.0531829589694498,0.0588133159261054,0.0653862876594246
"n1","n2",0.0099756813018798,"subsample_no_strap",0.0099561963517082,0.0102499106350046,58,0.01,1.00243779821991,0.75,0.0265914794847249,0.0531829589694498,0.0536738019895039,0.0764493716650024
"n1","n2",0.0096559671153735,"subsample_no_strap",0.0099561963517082,0.0102499106350046,6,0.01,1.03562904476743,0.75,0.0265914794847249,0.0531829589694498,0.0579460481402536,0.0630447785427711
"n1","n2",0.0098825042853972,"subsample_no_strap",0.0099561963517082,0.0102499106350046,62,0.01,1.01188926523172,0.75,0.0265914794847249,0.0531829589694498,0.0887009934903801,0.0686343528958823
"n1","n2",0.0102754563951587,"subsample_no_strap",0.0099561963517082,0.0102499106350046,63,0.01,0.973192782435583,0.75,0.0265914794847249,0.0531829589694498,0.0721550108693544,0.0581776308498737
"n1","n2",0.0099860596869145,"subsample_no_strap",0.0099561963517082,0.0102499106350046,64,0.01,1.00139597734467,0.75,0.0265914794847249,0.0531829589694498,0.0538429459084719,0.0968459693808725
"n1","n2",0.0100076502749424,"subsample_no_strap",0.0099561963517082,0.0102499106350046,66,0.01,0.999235557325415,0.75,0.0265914794847249,0.0531829589694498,0.10169964664785,0.0573127772935915
"n1","n2",0.0097996637490734,"subsample_no_strap",0.0099561963517082,0.0102499106350046,72,0.01,1.02044317601667,0.75,0.0265914794847249,0.0531829589694498,0.081836142545321,0.0953602059615403
"n1","n2",0.0099938794835398,"subsample_no_strap",0.0099561963517082,0.0102499106350046,73,0.01,1.00061242648265,0.75,0.0265914794847249,0.0531829589694498,0.0558201439141334,0.0901853799283529
"n1","n2",0.0101229761075891,"subsample_no_strap",0.0099561963517082,0.0102499106350046,74,0.01,0.987851783281699,0.75,0.0265914794847249,0.0531829589694498,0.0921305341450525,0.0650334647547418
"n1","n2",0.0100541621632858,"subsample_no_strap",0.0099561963517082,0.0102499106350046,78,0.01,0.994612961039799,0.75,0.0265914794847249,0.0531829589694498,0.0657356843542232,0.113678747257689
"n1","n2",0.0098040445283268,"subsample_no_strap",0.0099561963517082,0.0102499106350046,8,0.01,1.01998720743332,0.75,0.0265914794847249,0.0531829589694498,0.0522188709644273,0.0629301526341668
"n1","n2",0.0097052859779502,"subsample_no_strap",0.0099561963517082,0.0102499106350046,91,0.01,1.03036634084964,0.75,0.0265914794847249,0.0531829589694498,0.054771731718915,0.0553596330792362
