Len1,Boot1,whales_fq
0.00012882804700000000,42,whales_fq
0.00002138316600000000,11,whales_fq
0.00014191936700000001,44,whales_fq
0.00005605911800000000,43,whales_fq
0.00015796670200000001,37,whales_fq
0.00005775612500000000,33,whales_fq
0.00007857795300000000,46,whales_fq
0.00018737915500000000,35,whales_fq
0.00005497617800000000,32,whales_fq
0.00008579538499999999,30,whales_fq
0.00009972396999999999,19,whales_fq
0.00013797022400000001,44,whales_fq
0.00006926427099999999,15,whales_fq
0.00012608090600000000,33,whales_fq
0.00014129014000000001,60,whales_fq
0.00016076784100000000,83,whales_fq
0.00023821442000000000,56,whales_fq
