"sample","variable","dist","condition","main","mean","rep","true_dist","scaled_dist","b","prct_reads","exp_coverage","est_coverage_n1","est_coverage_n2"
"n1","n2",0.0100070490037061,"subsample_no_strap",0.0099988161471129,0.0099981615570652,0,0.01,0.999295596163908,0.75,0.0158113883008418,0.25298221281347,0.252487655858319,0.276384207444869
"n1","n2",0.0099925251358772,"subsample_no_strap",0.0099988161471129,0.0099981615570652,1,0.01,1.00074804556617,0.75,0.0158113883008418,0.25298221281347,0.259536760026611,0.269574714266716
"n1","n2",0.0100280741721799,"subsample_no_strap",0.0099988161471129,0.0099981615570652,10,0.01,0.997200442308469,0.75,0.0158113883008418,0.25298221281347,0.25368097187721,0.273547834733577
"n1","n2",0.0100130598299687,"subsample_no_strap",0.0099988161471129,0.0099981615570652,11,0.01,0.998695720370142,0.75,0.0158113883008418,0.25298221281347,0.243229613033995,0.239028653333285
"n1","n2",0.0099732138192387,"subsample_no_strap",0.0099988161471129,0.0099981615570652,12,0.01,1.00268581234161,0.75,0.0158113883008418,0.25298221281347,0.269385739636245,0.26188893252692
"n1","n2",0.0100092205740378,"subsample_no_strap",0.0099988161471129,0.0099981615570652,13,0.01,0.999078792002871,0.75,0.0158113883008418,0.25298221281347,0.238182162008217,0.270536973396842
"n1","n2",0.0099830512376258,"subsample_no_strap",0.0099988161471129,0.0099981615570652,14,0.01,1.00169775371985,0.75,0.0158113883008418,0.25298221281347,0.254958582756464,0.250333426597032
"n1","n2",0.0099955581712861,"subsample_no_strap",0.0099988161471129,0.0099981615570652,15,0.01,1.00044438025749,0.75,0.0158113883008418,0.25298221281347,0.245438293918789,0.253141465691511
"n1","n2",0.0100028370238406,"subsample_no_strap",0.0099988161471129,0.0099981615570652,16,0.01,0.999716378080155,0.75,0.0158113883008418,0.25298221281347,0.24815139392696,0.251594039900692
"n1","n2",0.01001110352986,"subsample_no_strap",0.0099988161471129,0.0099981615570652,17,0.01,0.998890878530327,0.75,0.0158113883008418,0.25298221281347,0.263203408013491,0.257456036768739
"n1","n2",0.009995860284193,"subsample_no_strap",0.0099988161471129,0.0099981615570652,18,0.01,1.00041414302414,0.75,0.0158113883008418,0.25298221281347,0.247910471153993,0.266068016198221
"n1","n2",0.009989116007359,"subsample_no_strap",0.0099988161471129,0.0099981615570652,19,0.01,1.00108958516779,0.75,0.0158113883008418,0.25298221281347,0.260204085967635,0.244982030078915
"n1","n2",0.010011209739906,"subsample_no_strap",0.0099988161471129,0.0099981615570652,2,0.01,0.998880281185066,0.75,0.0158113883008418,0.25298221281347,0.270200823963952,0.266655513919665
"n1","n2",0.0100339767301047,"subsample_no_strap",0.0099988161471129,0.0099981615570652,20,0.01,0.996613832080874,0.75,0.0158113883008418,0.25298221281347,0.260820956586097,0.264304239043071
"n1","n2",0.0100222436348038,"subsample_no_strap",0.0099988161471129,0.0099981615570652,21,0.01,0.997780573331241,0.75,0.0158113883008418,0.25298221281347,0.274532985500452,0.24020360551366
"n1","n2",0.0099809410815477,"subsample_no_strap",0.0099988161471129,0.0099981615570652,22,0.01,1.00190953120518,0.75,0.0158113883008418,0.25298221281347,0.25215096138977,0.265316155107943
"n1","n2",0.0100059476603739,"subsample_no_strap",0.0099988161471129,0.0099981615570652,23,0.01,0.999405587498977,0.75,0.0158113883008418,0.25298221281347,0.245442255120598,0.264747031019186
"n1","n2",0.0099867128756522,"subsample_no_strap",0.0099988161471129,0.0099981615570652,24,0.01,1.00133048026044,0.75,0.0158113883008418,0.25298221281347,0.253808171508437,0.258146782543613
"n1","n2",0.0100014903151644,"subsample_no_strap",0.0099988161471129,0.0099981615570652,25,0.01,0.999850990690634,0.75,0.0158113883008418,0.25298221281347,0.270537144822373,0.240296767728311
"n1","n2",0.0099772279125033,"subsample_no_strap",0.0099988161471129,0.0099981615570652,26,0.01,1.00228240626519,0.75,0.0158113883008418,0.25298221281347,0.256793225952088,0.252456370047541
"n1","n2",0.010021500981666,"subsample_no_strap",0.0099988161471129,0.0099981615570652,27,0.01,0.997854514837112,0.75,0.0158113883008418,0.25298221281347,0.269786136523319,0.242957881896559
"n1","n2",0.0100312441681206,"subsample_no_strap",0.0099988161471129,0.0099981615570652,28,0.01,0.996885314762851,0.75,0.0158113883008418,0.25298221281347,0.260346797806799,0.261000328846106
"n1","n2",0.0099976666424236,"subsample_no_strap",0.0099988161471129,0.0099981615570652,29,0.01,1.00023339021592,0.75,0.0158113883008418,0.25298221281347,0.260143890638888,0.250996463414586
"n1","n2",0.0099492590160786,"subsample_no_strap",0.0099988161471129,0.0099981615570652,3,0.01,1.00509997617303,0.75,0.0158113883008418,0.25298221281347,0.257541273753869,0.266899214410928
"n1","n2",0.0100005589426321,"subsample_no_strap",0.0099988161471129,0.0099981615570652,30,0.01,0.999944108860774,0.75,0.0158113883008418,0.25298221281347,0.276935476267212,0.253239409855157
"n1","n2",0.0100191715522683,"subsample_no_strap",0.0099988161471129,0.0099981615570652,31,0.01,0.998086513224335,0.75,0.0158113883008418,0.25298221281347,0.268984882338027,0.255033812494052
"n1","n2",0.0099728599107791,"subsample_no_strap",0.0099988161471129,0.0099981615570652,32,0.01,1.00272139481189,0.75,0.0158113883008418,0.25298221281347,0.248997521429095,0.253834090859689
"n1","n2",0.0100041489495083,"subsample_no_strap",0.0099988161471129,0.0099981615570652,33,0.01,0.999585277115597,0.75,0.0158113883008418,0.25298221281347,0.241336864119541,0.246716230659584
"n1","n2",0.0100038651220457,"subsample_no_strap",0.0099988161471129,0.0099981615570652,34,0.01,0.999613637129386,0.75,0.0158113883008418,0.25298221281347,0.249624238904017,0.267605113430487
"n1","n2",0.010030945794896,"subsample_no_strap",0.0099988161471129,0.0099981615570652,35,0.01,0.99691496738904,0.75,0.0158113883008418,0.25298221281347,0.258912094890492,0.25802567996648
"n1","n2",0.0099821458478007,"subsample_no_strap",0.0099988161471129,0.0099981615570652,36,0.01,1.001788608629,0.75,0.0158113883008418,0.25298221281347,0.239304104736604,0.251037839297679
"n1","n2",0.0100298435668733,"subsample_no_strap",0.0099988161471129,0.0099981615570652,37,0.01,0.997024523196758,0.75,0.0158113883008418,0.25298221281347,0.263764586121141,0.248923180220375
"n1","n2",0.0100118356184811,"subsample_no_strap",0.0099988161471129,0.0099981615570652,38,0.01,0.998817837314541,0.75,0.0158113883008418,0.25298221281347,0.238113025459279,0.255786822877233
"n1","n2",0.0100204829685428,"subsample_no_strap",0.0099988161471129,0.0099981615570652,39,0.01,0.997955890089614,0.75,0.0158113883008418,0.25298221281347,0.255287383029934,0.274870165416009
"n1","n2",0.0100244058038971,"subsample_no_strap",0.0099988161471129,0.0099981615570652,4,0.01,0.997565361541162,0.75,0.0158113883008418,0.25298221281347,0.251454770053532,0.252043616140278
"n1","n2",0.009980605121282,"subsample_no_strap",0.0099988161471129,0.0099981615570652,41,0.01,1.00194325679478,0.75,0.0158113883008418,0.25298221281347,0.262137408013318,0.263305228735183
"n1","n2",0.0100174532774114,"subsample_no_strap",0.0099988161471129,0.0099981615570652,42,0.01,0.998257713120477,0.75,0.0158113883008418,0.25298221281347,0.237020626562087,0.267148726991173
"n1","n2",0.0099672203269558,"subsample_no_strap",0.0099988161471129,0.0099981615570652,43,0.01,1.00328874771188,0.75,0.0158113883008418,0.25298221281347,0.260388941243273,0.26368780556304
"n1","n2",0.0099895123377172,"subsample_no_strap",0.0099988161471129,0.0099981615570652,44,0.01,1.00104986729364,0.75,0.0158113883008418,0.25298221281347,0.265231155632242,0.262625478278979
"n1","n2",0.0099951503044744,"subsample_no_strap",0.0099988161471129,0.0099981615570652,45,0.01,1.00048520486214,0.75,0.0158113883008418,0.25298221281347,0.253350186022303,0.263073450700038
"n1","n2",0.0099975027289492,"subsample_no_strap",0.0099988161471129,0.0099981615570652,46,0.01,1.00024978948428,0.75,0.0158113883008418,0.25298221281347,0.240624805238182,0.258145304673752
"n1","n2",0.0099917779057496,"subsample_no_strap",0.0099988161471129,0.0099981615570652,47,0.01,1.00082288600967,0.75,0.0158113883008418,0.25298221281347,0.259110766129635,0.269657415040749
"n1","n2",0.0099661929913875,"subsample_no_strap",0.0099988161471129,0.0099981615570652,48,0.01,1.00339216876912,0.75,0.0158113883008418,0.25298221281347,0.250786619896655,0.266393814403928
"n1","n2",0.0099866703753041,"subsample_no_strap",0.0099988161471129,0.0099981615570652,49,0.01,1.00133474163008,0.75,0.0158113883008418,0.25298221281347,0.248703627192084,0.244550163789794
"n1","n2",0.0099653003714062,"subsample_no_strap",0.0099988161471129,0.0099981615570652,5,0.01,1.00348204542768,0.75,0.0158113883008418,0.25298221281347,0.25094980608795,0.255845402373293
"n1","n2",0.0100117402719014,"subsample_no_strap",0.0099988161471129,0.0099981615570652,50,0.01,0.998827349533392,0.75,0.0158113883008418,0.25298221281347,0.264317552163566,0.268082699342145
"n1","n2",0.010037441652815,"subsample_no_strap",0.0099988161471129,0.0099981615570652,51,0.01,0.996269801199342,0.75,0.0158113883008418,0.25298221281347,0.256290815025044,0.250828374829158
"n1","n2",0.0099881941225675,"subsample_no_strap",0.0099988161471129,0.0099981615570652,52,0.01,1.0011819831781,0.75,0.0158113883008418,0.25298221281347,0.260034304425367,0.254915339643545
"n1","n2",0.0099581120140768,"subsample_no_strap",0.0099988161471129,0.0099981615570652,53,0.01,1.00420641843192,0.75,0.0158113883008418,0.25298221281347,0.257723008342367,0.261960750565243
"n1","n2",0.0100307519901214,"subsample_no_strap",0.0099988161471129,0.0099981615570652,54,0.01,0.996934228844282,0.75,0.0158113883008418,0.25298221281347,0.270142906123368,0.268723928122083
"n1","n2",0.0099805426061294,"subsample_no_strap",0.0099988161471129,0.0099981615570652,55,0.01,1.00194953266956,0.75,0.0158113883008418,0.25298221281347,0.259618011866883,0.250926155697002
"n1","n2",0.0099550573166932,"subsample_no_strap",0.0099988161471129,0.0099981615570652,56,0.01,1.00451455796557,0.75,0.0158113883008418,0.25298221281347,0.259710120205917,0.260048576440616
"n1","n2",0.0100440329126347,"subsample_no_strap",0.0099988161471129,0.0099981615570652,57,0.01,0.995616012709463,0.75,0.0158113883008418,0.25298221281347,0.256212596268974,0.241463657577199
"n1","n2",0.0099941498092754,"subsample_no_strap",0.0099988161471129,0.0099981615570652,58,0.01,1.00058536152011,0.75,0.0158113883008418,0.25298221281347,0.242309684135257,0.264449789007843
"n1","n2",0.0100450750877766,"subsample_no_strap",0.0099988161471129,0.0099981615570652,59,0.01,0.995512717686746,0.75,0.0158113883008418,0.25298221281347,0.246699941386399,0.262701555645508
"n1","n2",0.0099558218542852,"subsample_no_strap",0.0099988161471129,0.0099981615570652,6,0.01,1.00443741826254,0.75,0.0158113883008418,0.25298221281347,0.249934725583595,0.245188288643652
"n1","n2",0.0099798053386149,"subsample_no_strap",0.0099988161471129,0.0099981615570652,60,0.01,1.00202355263453,0.75,0.0158113883008418,0.25298221281347,0.252956602727169,0.249085908808134
"n1","n2",0.0100000101145179,"subsample_no_strap",0.0099988161471129,0.0099981615570652,61,0.01,0.999998988549224,0.75,0.0158113883008418,0.25298221281347,0.27138954150199,0.249448570310331
"n1","n2",0.0100243643736503,"subsample_no_strap",0.0099988161471129,0.0099981615570652,62,0.01,0.997569484433904,0.75,0.0158113883008418,0.25298221281347,0.244833105644685,0.261460003373929
"n1","n2",0.0100642376157816,"subsample_no_strap",0.0099988161471129,0.0099981615570652,63,0.01,0.993617239751883,0.75,0.0158113883008418,0.25298221281347,0.260225578828544,0.249489932191344
"n1","n2",0.0099887386328037,"subsample_no_strap",0.0099988161471129,0.0099981615570652,64,0.01,1.00112740633329,0.75,0.0158113883008418,0.25298221281347,0.261499744543736,0.286867913107047
"n1","n2",0.0100186071398913,"subsample_no_strap",0.0099988161471129,0.0099981615570652,65,0.01,0.998142741837106,0.75,0.0158113883008418,0.25298221281347,0.247066246471109,0.262466364420214
"n1","n2",0.0099589188630826,"subsample_no_strap",0.0099988161471129,0.0099981615570652,66,0.01,1.00412505990682,0.75,0.0158113883008418,0.25298221281347,0.27214009742307,0.269501986169965
"n1","n2",0.009982463776994,"subsample_no_strap",0.0099988161471129,0.0099981615570652,67,0.01,1.00175670289397,0.75,0.0158113883008418,0.25298221281347,0.259518563842301,0.242486095912992
"n1","n2",0.0099925415461912,"subsample_no_strap",0.0099988161471129,0.0099981615570652,68,0.01,1.00074640208142,0.75,0.0158113883008418,0.25298221281347,0.261972871257686,0.245320058058781
"n1","n2",0.0100050341195817,"subsample_no_strap",0.0099988161471129,0.0099981615570652,69,0.01,0.999496841337914,0.75,0.0158113883008418,0.25298221281347,0.266639901464774,0.257677749366483
"n1","n2",0.0100809369713149,"subsample_no_strap",0.0099988161471129,0.0099981615570652,7,0.01,0.991971284857221,0.75,0.0158113883008418,0.25298221281347,0.253070575172833,0.261537521213103
"n1","n2",0.0100265538547903,"subsample_no_strap",0.0099988161471129,0.0099981615570652,70,0.01,0.997351646919276,0.75,0.0158113883008418,0.25298221281347,0.261784237784175,0.246244792480619
"n1","n2",0.0099669040349664,"subsample_no_strap",0.0099988161471129,0.0099981615570652,71,0.01,1.00332058630418,0.75,0.0158113883008418,0.25298221281347,0.24128539020144,0.253214326070689
"n1","n2",0.010010493520243,"subsample_no_strap",0.0099988161471129,0.0099981615570652,72,0.01,0.998951747961091,0.75,0.0158113883008418,0.25298221281347,0.260016455403905,0.260968609147357
"n1","n2",0.0099810796676238,"subsample_no_strap",0.0099988161471129,0.0099981615570652,73,0.01,1.00189561981331,0.75,0.0158113883008418,0.25298221281347,0.244339517651896,0.238551901167925
"n1","n2",0.0099390690386728,"subsample_no_strap",0.0099988161471129,0.0099981615570652,74,0.01,1.00613044955117,0.75,0.0158113883008418,0.25298221281347,0.248142855514068,0.235730045556625
"n1","n2",0.0099929342736991,"subsample_no_strap",0.0099988161471129,0.0099981615570652,75,0.01,1.00070707222797,0.75,0.0158113883008418,0.25298221281347,0.27776331257231,0.249944305486075
"n1","n2",0.0100250241738808,"subsample_no_strap",0.0099988161471129,0.0099981615570652,76,0.01,0.997503829073442,0.75,0.0158113883008418,0.25298221281347,0.245656190503701,0.291370360814528
"n1","n2",0.0100207766982889,"subsample_no_strap",0.0099988161471129,0.0099981615570652,77,0.01,0.99792663793292,0.75,0.0158113883008418,0.25298221281347,0.261782123766418,0.260618890296513
"n1","n2",0.0100185923105076,"subsample_no_strap",0.0099988161471129,0.0099981615570652,78,0.01,0.998144219274379,0.75,0.0158113883008418,0.25298221281347,0.280751974630095,0.274708550277083
"n1","n2",0.0099441476491246,"subsample_no_strap",0.0099988161471129,0.0099981615570652,79,0.01,1.00561660514768,0.75,0.0158113883008418,0.25298221281347,0.24552574740919,0.274520630648281
"n1","n2",0.010001686134766,"subsample_no_strap",0.0099988161471129,0.0099981615570652,8,0.01,0.999831414949104,0.75,0.0158113883008418,0.25298221281347,0.269260484361538,0.254993513368284
