sample,variable,dist,condition,true_dist,scaled_dist
n1,n2,0.0010036798578050227,sim,0.001,0.9963336339008833
n1,n2,0.0010256075191712088,sim,0.001,0.9750318531284734
n1,n2,0.0009998139032033142,sim,0.001,1.0001861314351497
n1,n2,0.0010467670008679794,sim,0.001,0.9553224348597156
n1,n2,0.0009832567927326806,sim,0.001,1.0170283158896736
n1,n2,0.0009900679192638244,sim,0.001,1.0100317165549215
n1,n2,0.0009821391492245849,sim,0.001,1.0181856621737524
n1,n2,0.0010041219234951815,sim,0.001,0.995894997013078
n1,n2,0.0009739159982203561,sim,0.001,1.0267825991433628
n1,n2,0.0009199095376688617,sim,0.001,1.0870634111850772
n1,n2,0.0009648694782393696,sim,0.001,1.0364096103700309
n1,n2,0.0009949358317878623,sim,0.001,1.0050899445475168
n1,n2,0.0010089898793428738,sim,0.001,0.9910902185176242
n1,n2,0.0010212956529868141,sim,0.001,0.9791483955458596
n1,n2,0.0010008758747911974,sim,0.001,0.9991248916941072
n1,n2,0.0009826235507086694,sim,0.001,1.017683729724164
n1,n2,0.000994540211936037,sim,0.001,1.0054897609955205
n1,n2,0.0010124730268007119,sim,0.001,0.9876806329941202
n1,n2,0.0010364580719205727,sim,0.001,0.9648243639484468
n1,n2,0.0009896413480482054,sim,0.001,1.0104670767568718
n1,n2,0.0010803290919576662,sim,0.001,0.925643868562216
n1,n2,0.000993023671624672,sim,0.001,1.0070253394502813
n1,n2,0.001006655165593133,sim,0.001,0.9933888328192192
n1,n2,0.0010289066365257477,sim,0.001,0.9719054815086478
n1,n2,0.001035215589477864,sim,0.001,0.9659823617072596
n1,n2,0.0010140858690987481,sim,0.001,0.9861097866285558
n1,n2,0.0010205028915012731,sim,0.001,0.979909031447122
n1,n2,0.001050003155397042,sim,0.001,0.9523780903514201
n1,n2,0.0009631741575679227,sim,0.001,1.0382338356388892
n1,n2,0.0009600499882407832,sim,0.001,1.0416124287782371
n1,n2,0.0009821171531531653,sim,0.001,1.0182084660566415
n1,n2,0.0010574201854409594,sim,0.001,0.9456978538602284
n1,n2,0.001031367504396457,sim,0.001,0.969586491466189
n1,n2,0.0009745875131283897,sim,0.001,1.0260751205297485
n1,n2,0.0010410700625688447,sim,0.001,0.9605501454268082
n1,n2,0.0009965615201548807,sim,0.001,1.0034503437826747
n1,n2,0.0009892881345825296,sim,0.001,1.0108278519098894
n1,n2,0.0009989340351446527,sim,0.001,1.0010671023489484
n1,n2,0.000999353351468368,sim,0.001,1.0006470669565293
n1,n2,0.0010332292559297792,sim,0.001,0.9678394163356544
n1,n2,0.000983711118556324,sim,0.001,1.01655860255761
n1,n2,0.001011467759636294,sim,0.001,0.9886622588539871
n1,n2,0.0010010098626872872,sim,0.001,0.998991156106518
n1,n2,0.001005310912840589,sim,0.001,0.9947171439474554
n1,n2,0.0010381644968145039,sim,0.001,0.963238487800722
n1,n2,0.0009756339183343148,sim,0.001,1.0249746151786985
n1,n2,0.0009810402942759752,sim,0.001,1.0193261233352473
n1,n2,0.0009836178544126457,sim,0.001,1.0166549900592612
n1,n2,0.0009874278682131935,sim,0.001,1.012732202717305
n1,n2,0.0010163438625835582,sim,0.001,0.9839189636645104
n1,n2,0.0010255885921273064,sim,0.001,0.9750498471572996
n1,n2,0.0009765872650932235,sim,0.001,1.0239740325761275
n1,n2,0.0010306478871549738,sim,0.001,0.9702634745222491
n1,n2,0.000998118781768538,sim,0.001,1.0018847638836421
n1,n2,0.000974674067120724,sim,0.001,1.0259840019690798
n1,n2,0.0010056513191894405,sim,0.001,0.9943804387449168
n1,n2,0.0009811101631121977,sim,0.001,1.0192535329854109
n1,n2,0.0010200330402511616,sim,0.001,0.9803604006334647
n1,n2,0.0010009220720762783,sim,0.001,0.9990787773573964
n1,n2,0.000986386508583282,sim,0.001,1.0138013763349931
n1,n2,0.0010205467303453669,sim,0.001,0.9798669382455288
n1,n2,0.0009729318085647293,sim,0.001,1.0278212627000054
n1,n2,0.0009953099475923557,sim,0.001,1.004712152650528
n1,n2,0.0010074269392470962,sim,0.001,0.9926278135339058
n1,n2,0.0010038584616646473,sim,0.001,0.9961563688388412
n1,n2,0.0009928297403384598,sim,0.001,1.0072220435893628
n1,n2,0.0009734706056241148,sim,0.001,1.027252383608313
n1,n2,0.0009965203293886306,sim,0.001,1.0034918209982773
n1,n2,0.0009732061140121356,sim,0.001,1.0275315635630402
n1,n2,0.0010080386158512992,sim,0.001,0.9920254881857772
n1,n2,0.00100228387040768,sim,0.001,0.9977213337706899
n1,n2,0.0010505394434352426,sim,0.001,0.9518919125302144
n1,n2,0.0010006548744667856,sim,0.001,0.9993455541131157
n1,n2,0.0010029219791847835,sim,0.001,0.9970865339025088
n1,n2,0.0010093031033222895,sim,0.001,0.990782646668115
n1,n2,0.0010313160850114148,sim,0.001,0.9696348331354996
n1,n2,0.0009660260058799232,sim,0.001,1.035168819383005
n1,n2,0.0009868974986527944,sim,0.001,1.0132764561315557
n1,n2,0.0009778217026241518,sim,0.001,1.02268133067238
n1,n2,0.0010218426102848244,sim,0.001,0.9786242909965008
n1,n2,0.000986280097473707,sim,0.001,1.0139107567530112
n1,n2,0.0009991784263161565,sim,0.001,1.000822249222166
n1,n2,0.0010036980237563091,sim,0.001,0.9963156012378412
n1,n2,0.0009891125595310267,sim,0.001,1.0110072815920321
n1,n2,0.0009626348012308387,sim,0.001,1.0388155494912354
n1,n2,0.0009810845293623366,sim,0.001,1.0192801640139588
n1,n2,0.0009726344324864254,sim,0.001,1.0281355117601767
n1,n2,0.0010517848035025634,sim,0.001,0.9507648300963144
n1,n2,0.0010494734646475168,sim,0.001,0.9528587750771448
n1,n2,0.0009955878444648956,sim,0.001,1.004431708924164
n1,n2,0.001043069850226078,sim,0.001,0.9587085656662948
n1,n2,0.0009834146781967758,sim,0.001,1.0168650338162897
n1,n2,0.0010034898368538054,sim,0.001,0.996522299752684
n1,n2,0.0009796710405895527,sim,0.001,1.0207508016141966
n1,n2,0.0010183637769071037,sim,0.001,0.9819673702820844
n1,n2,0.0010637526403594491,sim,0.001,0.9400681719220864
n1,n2,0.0009786130996492226,sim,0.001,1.0218542960016
n1,n2,0.001019633580622988,sim,0.001,0.9807444742934104
n1,n2,0.0010136328716681322,sim,0.001,0.9865504838594108
n1,n2,0.0010502353122080546,sim,0.001,0.952167565093162
n1,n2,0.000937629112168586,subsample_no_strap,0.001,1.0665197859387707
n1,n2,0.001003511221716191,subsample_no_strap,0.001,0.996501063824492
n1,n2,0.0009732545287717844,subsample_no_strap,0.001,1.0274804487804103
n1,n2,0.0010564852333612331,subsample_no_strap,0.001,0.9465347630259592
n1,n2,0.0010425509980008262,subsample_no_strap,0.001,0.9591856915561722
n1,n2,0.0009801763474779574,subsample_no_strap,0.001,1.0202245775191885
n1,n2,0.0010192832257210434,subsample_no_strap,0.001,0.9810815823959016
n1,n2,0.0009045792105565836,subsample_no_strap,0.001,1.1054863834253992
n1,n2,0.0009401385264869177,subsample_no_strap,0.001,1.063673035224682
n1,n2,0.0009327041635615004,subsample_no_strap,0.001,1.0721513198585206
n1,n2,0.0010279694318935408,subsample_no_strap,0.001,0.9727915723699871
n1,n2,0.0010363333230378952,subsample_no_strap,0.001,0.964940504922308
n1,n2,0.0009549018736848686,subsample_no_strap,0.001,1.0472280215988083
n1,n2,0.0009678239316042033,subsample_no_strap,0.001,1.0332457871159106
n1,n2,0.0009889157867354569,subsample_no_strap,0.001,1.011208450115994
n1,n2,0.0009385204256902774,subsample_no_strap,0.001,1.0655069113328086
n1,n2,0.0010202517831508337,subsample_no_strap,0.001,0.9801502104820732
n1,n2,0.0010444997705892755,subsample_no_strap,0.001,0.9573960934771959
n1,n2,0.0009736270094881141,subsample_no_strap,0.001,1.0270873653410166
n1,n2,0.0010357141992331689,subsample_no_strap,0.001,0.96551732199905
n1,n2,0.0011159714435502318,subsample_no_strap,0.001,0.8960802767664979
n1,n2,0.0009957787136280647,subsample_no_strap,0.001,1.0042391811696347
n1,n2,0.0010790964067681256,subsample_no_strap,0.001,0.9267012601728348
n1,n2,0.0010733753614531763,subsample_no_strap,0.001,0.9316405387265102
n1,n2,0.0010206899729441274,subsample_no_strap,0.001,0.9797294247101808
n1,n2,0.0009426398434403703,subsample_no_strap,0.001,1.0608505538555224
n1,n2,0.0009553573366747713,subsample_no_strap,0.001,1.046728759608015
n1,n2,0.0010993813416809604,subsample_no_strap,0.001,0.909602484676513
n1,n2,0.000976685618919959,subsample_no_strap,0.001,1.0238709167294002
n1,n2,0.0009636831842410328,subsample_no_strap,0.001,1.037685430598822
