tr_113 0.00038876		0.00038876		4	n1	n4	1	1
tr_113 0.00001139		0.00001139		2	n1	n2	2	2
tr_113 0.00059380		0.00059380		2	n3	n4	5	5
tr_113 0.00010539		0.00010539		4	n5	n8	8	8
tr_113 0.01400897		0.01400897		2	n5	n6	9	9
tr_113 0.00719711		0.00719711		2	n7	n8	12	12
tr_114 0.00181066		0.00181066		4	n1	n4	1	1
tr_114 0.00007908		0.00007908		2	n1	n2	2	2
tr_114 0.03224729		0.03224729		2	n3	n4	5	5
tr_114 0.00013030		0.00013030		4	n5	n8	8	8
tr_114 0.00037169		0.00037169		2	n5	n6	9	9
tr_114 0.01078816		0.01078816		2	n7	n8	12	12
tr_115 0.00003779		0.00003779		4	n1	n4	1	1
tr_115 0.00003164		0.00003164		2	n1	n2	2	2
tr_115 0.00007307		0.00007307		2	n3	n4	5	5
tr_115 0.00005578		0.00005578		4	n5	n8	8	8
tr_115 0.00008603		0.00008603		2	n5	n6	9	9
tr_115 0.11844182		0.11844182		2	n7	n8	12	12
tr_116 0.00013291		0.00013291		4	n1	n4	1	1
tr_116 0.00080269		0.00080269		2	n1	n2	2	2
tr_116 0.00070761		0.00070761		2	n3	n4	5	5
tr_116 0.02778611		0.02778611		4	n5	n8	8	8
tr_116 0.03679539		0.03679539		2	n5	n6	9	9
tr_116 0.00810580		0.00810580		2	n7	n8	12	12
tr_117 0.00008753		0.00008753		4	n1	n4	1	1
tr_117 0.03045238		0.03045238		2	n1	n2	2	2
tr_117 0.00078933		0.00078933		2	n3	n4	5	5
tr_117 0.00035979		0.00035979		4	n5	n8	8	8
tr_117 0.00012360		0.00012360		2	n5	n6	9	9
tr_117 0.00004226		0.00004226		2	n7	n8	12	12
tr_118 0.00003462		0.00003462		4	n1	n4	1	1
tr_118 0.00086366		0.00086366		2	n1	n2	2	2
tr_118 0.00048680		0.00048680		2	n3	n4	5	5
tr_118 0.00849933		0.00849933		4	n5	n8	8	8
tr_118 0.07059365		0.07059365		2	n5	n6	9	9
tr_118 0.01281772		0.01281772		2	n7	n8	12	12
tr_119 0.00652861		0.00652861		4	n1	n4	1	1
tr_119 0.02357613		0.02357613		2	n1	n2	2	2
tr_119 0.05127698		0.05127698		2	n3	n4	5	5
tr_119 0.00009360		0.00009360		4	n5	n8	8	8
tr_119 0.00012858		0.00012858		2	n5	n6	9	9
tr_119 0.00527357		0.00527357		2	n7	n8	12	12
tr_12 0.00003971		0.00003971		4	n1	n4	1	1
tr_12 0.00001604		0.00001604		2	n1	n2	2	2
tr_12 0.04016604		0.04016604		2	n3	n4	5	5
tr_12 0.00023186		0.00023186		4	n5	n8	8	8
tr_12 0.00014384		0.00014384		2	n5	n6	9	9
tr_12 0.00013253		0.00013253		2	n7	n8	12	12
