tr_116 0.00002585		0.00002585		5	n4	n8	6	6
tr_116 0.00033946		0.00033946		4	n5	n8	8	8
tr_116 0.00103756		0.00103756		3	n6	n8	10	10
tr_116 0.00146404		0.00146404		2	n7	n8	12	12
tr_117 0.00070971		0.00070971		6	n3	n8	4	4
tr_117 0.00029471		0.00029471		5	n4	n8	6	6
tr_117 0.00025433		0.00025433		4	n5	n8	8	8
tr_117 0.00025886		0.00025886		3	n6	n8	10	10
tr_117 0.00003643		0.00003643		2	n7	n8	12	12
tr_118 0.00193350		0.00193350		6	n3	n8	4	4
tr_118 0.05889863		0.05889863		5	n4	n8	6	6
tr_118 0.00015503		0.00015503		4	n5	n8	8	8
tr_118 0.00014572		0.00014572		3	n6	n8	10	10
tr_118 0.00142179		0.00142179		2	n7	n8	12	12
tr_119 0.00455928		0.00455928		6	n3	n8	4	4
tr_119 0.04124028		0.04124028		5	n4	n8	6	6
tr_119 0.02158397		0.02158397		4	n5	n8	8	8
tr_119 0.04722623		0.04722623		3	n6	n8	10	10
tr_119 0.00006768		0.00006768		2	n7	n8	12	12
tr_12 0.00063146		0.00063146		6	n3	n8	4	4
tr_12 0.00962999		0.00962999		5	n4	n8	6	6
tr_12 0.03828978		0.03828978		4	n5	n8	8	8
tr_12 0.00249296		0.00249296		3	n6	n8	10	10
tr_12 0.00994578		0.00994578		2	n7	n8	12	12
tr_120 0.00010611		0.00010611		6	n3	n8	4	4
tr_120 0.04445076		0.04445076		5	n4	n8	6	6
tr_120 0.00063660		0.00063660		4	n5	n8	8	8
tr_120 0.00017757		0.00017757		3	n6	n8	10	10
tr_120 0.00230782		0.00230782		2	n7	n8	12	12
tr_13 0.00046030		0.00046030		6	n3	n8	4	4
tr_13 0.00019389		0.00019389		5	n4	n8	6	6
tr_13 0.00032621		0.00032621		4	n5	n8	8	8
tr_13 0.00097334		0.00097334		3	n6	n8	10	10
tr_13 0.00811661		0.00811661		2	n7	n8	12	12
tr_14 0.00001733		0.00001733		6	n3	n8	4	4
tr_14 0.02762580		0.02762580		5	n4	n8	6	6
tr_14 0.08085557		0.08085557		4	n5	n8	8	8
tr_14 0.00284734		0.00284734		3	n6	n8	10	10
tr_14 0.01103067		0.01103067		2	n7	n8	12	12
tr_15 0.06953410		0.06953410		6	n3	n8	4	4
tr_15 0.00005130		0.00005130		5	n4	n8	6	6
tr_15 0.00960197		0.00960197		4	n5	n8	8	8
tr_15 0.00319112		0.00319112		3	n6	n8	10	10
tr_15 0.00018550		0.00018550		2	n7	n8	12	12
tr_16 0.00852768		0.00852768		6	n3	n8	4	4
tr_16 0.00002977		0.00002977		5	n4	n8	6	6
tr_16 0.00126237		0.00126237		4	n5	n8	8	8
tr_16 0.00229784		0.00229784		3	n6	n8	10	10
tr_16 0.00187754		0.00187754		2	n7	n8	12	12
tr_17 0.00009769		0.00009769		6	n3	n8	4	4
tr_17 0.00011096		0.00011096		5	n4	n8	6	6
