Len1,Boot1,lice_fq
0.02887427668499999850,100,lice_fq
0.00671961567999999985,100,lice_fq
0.00733084767199999963,100,lice_fq
0.00317045868999999998,100,lice_fq
0.00063302239599999995,100,lice_fq
0.00371919835899999981,100,lice_fq
0.00354418054800000005,100,lice_fq
0.00037968166800000003,88,lice_fq
0.00025907562499999999,55,lice_fq
0.00111737576000000009,97,lice_fq
0.01479448034700000039,100,lice_fq
0.03321197505600000099,100,lice_fq
0.00646185966699999986,100,lice_fq
0.00710016526000000012,100,lice_fq
0.00370331327399999995,100,lice_fq
0.00871107572700000055,100,lice_fq
0.00044471893599999998,95,lice_fq
0.00286489698699999998,100,lice_fq
0.00690931935499999959,100,lice_fq
0.00119070482200000008,100,lice_fq
0.02385179071000000095,100,lice_fq
0.00865928982199999989,100,lice_fq
0.02191378518400000086,100,lice_fq
0.00216660090400000015,100,lice_fq
0.02257988447499999912,100,lice_fq
0.00341678617399999995,100,lice_fq
0.00224859000799999993,100,lice_fq
0.00417196921699999976,100,lice_fq
0.00076032578099999998,100,lice_fq
0.01220844655100000037,100,lice_fq
0.00128213895500000003,100,lice_fq
0.00909676258899999937,100,lice_fq
0.01920924682800000116,100,lice_fq
0.00067506332099999996,79,lice_fq
0.00355739405499999996,100,lice_fq
0.00123257370300000006,100,lice_fq
0.00288908111499999991,100,lice_fq
0.00659916978199999969,100,lice_fq
0.00340952334700000016,100,lice_fq
0.00085424538799999997,100,lice_fq
0.02391035089300000069,100,lice_fq
0.00155956697000000010,100,lice_fq
0.01911033576400000128,100,lice_fq
0.01018730807699999921,100,lice_fq
0.02977130616099999891,100,lice_fq
0.02964251046399999853,100,lice_fq
0.01187879568699999958,100,lice_fq
0.00401921733900000022,100,lice_fq
0.02989265933100000022,100,lice_fq
0.00786946884300000066,100,lice_fq
0.00401781634799999992,100,lice_fq
0.00306076128200000012,100,lice_fq
0.00649139633099999995,100,lice_fq
0.00402770386599999967,100,lice_fq
0.00975428419299999988,100,lice_fq
0.01153201425799999999,100,lice_fq
0.01141873080300000003,100,lice_fq
0.00216560656799999994,100,lice_fq
