Len1,Boot1,whales_fq
0.00005972598600000000,67,whales_fq
0.00001589679600000000,18,whales_fq
0.00004861982700000000,45,whales_fq
0.00004549266700000000,47,whales_fq
0.00006551376100000000,66,whales_fq
0.00018813760799999999,100,whales_fq
0.00008443036600000000,96,whales_fq
0.00006260093800000000,90,whales_fq
0.00003583779800000000,48,whales_fq
0.00002078570300000000,48,whales_fq
0.00011215902100000001,88,whales_fq
0.00003761368000000000,65,whales_fq
0.00007094974799999999,33,whales_fq
0.00002848204300000000,18,whales_fq
0.00010109961000000000,52,whales_fq
0.00008485363600000000,52,whales_fq
0.00004938885100000000,72,whales_fq
