sample,variable,value_x,cond,rep_num,value_y,est_true
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425992_2,0.1126916643963014,main,-1.0,0.1126916643963014,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425992_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425992_2,0.1042956215107319,main,-1.0,0.1042956215107319,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425992_2,0.0984424925237672,main,-1.0,0.0984424925237672,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425992_2,0.1859794782249425,main,-1.0,0.1859794782249425,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425992_2,0.1518980781663294,main,-1.0,0.1518980781663294,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425992_2,0.1046066187875464,main,-1.0,0.1046066187875464,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425992_2,0.1876174000110135,main,-1.0,0.1876174000110135,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425992_2,0.1565250740038684,main,-1.0,0.1565250740038684,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425992_2,0.1061571461778379,main,-1.0,0.1061571461778379,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425992_2,0.1804291165611619,main,-1.0,0.1804291165611619,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425992_2,0.1080322530478714,main,-1.0,0.1080322530478714,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425993_2,0.1287122170038409,main,-1.0,0.1287122170038409,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425993_2,0.0656350056164093,main,-1.0,0.0656350056164093,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425993_2,0.1306786107798112,main,-1.0,0.1306786107798112,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425993_2,0.1042956215107319,main,-1.0,0.1042956215107319,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425993_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425993_2,0.0974916720498126,main,-1.0,0.0974916720498126,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425993_2,0.1883303540695287,main,-1.0,0.1883303540695287,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425993_2,0.1508904511584884,main,-1.0,0.1508904511584884,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425993_2,0.0176475930465205,main,-1.0,0.0176475930465205,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425993_2,0.1815381071454735,main,-1.0,0.1815381071454735,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425993_2,0.144520495784106,main,-1.0,0.144520495784106,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425993_2,0.0215023039383637,main,-1.0,0.0215023039383637,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425993_2,0.1742221775428925,main,-1.0,0.1742221775428925,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425993_2,0.0659902723037328,main,-1.0,0.0659902723037328,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425995_2,0.1212838049139521,main,-1.0,0.1212838049139521,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425995_2,0.0984145012220924,main,-1.0,0.0984145012220924,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425995_2,0.1279191867502359,main,-1.0,0.1279191867502359,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425995_2,0.0984424925237672,main,-1.0,0.0984424925237672,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425995_2,0.0974916720498126,main,-1.0,0.0974916720498126,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425995_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425995_2,0.1882144537991404,main,-1.0,0.1882144537991404,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425995_2,0.1482253069186688,main,-1.0,0.1482253069186688,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425995_2,0.0977105025679926,main,-1.0,0.0977105025679926,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425995_2,0.1876571123076779,main,-1.0,0.1876571123076779,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425995_2,0.1486148842433672,main,-1.0,0.1486148842433672,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425995_2,0.0990794227452697,main,-1.0,0.0990794227452697,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425995_2,0.175502830618652,main,-1.0,0.175502830618652,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425995_2,0.1019171252078916,main,-1.0,0.1019171252078916,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425997_2,0.1925967203123766,main,-1.0,0.1925967203123766,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425997_2,0.1922800415627872,main,-1.0,0.1922800415627872,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425997_2,0.2017436644876099,main,-1.0,0.2017436644876099,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425997_2,0.1859794782249425,main,-1.0,0.1859794782249425,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425997_2,0.1883303540695287,main,-1.0,0.1883303540695287,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425997_2,0.1882144537991404,main,-1.0,0.1882144537991404,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425997_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425997_2,0.1405426614690672,main,-1.0,0.1405426614690672,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425997_2,0.1891187147356312,main,-1.0,0.1891187147356312,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425997_2,0.1335730599958281,main,-1.0,0.1335730599958281,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425997_2,0.1473945180614591,main,-1.0,0.1473945180614591,1.0
